stop,stop_lat,stop_lng,stop_distance_km,road_type,institution_id,city
Benz Circle Station,16.552745,80.641685,0.891,Village Road,AP_INST_Vignan_University,Vijayawada
Governorpet Junction,16.566978,80.638651,2.459,Highway,AP_INST_Vignan_University,Vijayawada
Patamata Temple Road,16.582571,80.639848,4.189,Village Road,AP_INST_Vignan_University,Vijayawada
Kanuru Main Road,16.603715,80.63856,6.542,Village Road,AP_INST_Vignan_University,Vijayawada
Auto Nagar Bridge,16.610177,80.649675,7.331,Highway,AP_INST_Vignan_University,Vijayawada
Nunna Cross Roads,16.64594,80.646131,11.254,Village Road,AP_INST_Vignan_University,Vijayawada
Gunadala Depot,16.678992,80.621467,15.041,Main Road,AP_INST_Vignan_University,Vijayawada
Ramavarappadu Bus Stop,16.771657,80.636065,25.218,Highway,AP_INST_Vignan_University,Vijayawada
Moghalrajpuram Chowk,16.820434,80.708495,31.495,Highway,AP_INST_Vignan_University,Vijayawada
Suryaraopet Square,16.552342,80.645365,1.006,Highway,AP_INST_Vignan_University,Vijayawada
Labbipet Terminus,16.555636,80.659189,2.368,Main Road,AP_INST_Vignan_University,Vijayawada
Gandhinagar Nagar,16.578843,80.66215,4.452,Highway,AP_INST_Vignan_University,Vijayawada
MG Road Junction,16.577175,80.684457,5.944,Village Road,AP_INST_Vignan_University,Vijayawada
One Town Square,16.584237,80.705379,8.227,Main Road,AP_INST_Vignan_University,Vijayawada
Bandar Road Square,16.609154,80.742887,13.087,Main Road,AP_INST_Vignan_University,Vijayawada
Kondapalli Circle,16.669583,80.742811,17.67,Highway,AP_INST_Vignan_University,Vijayawada
Gannavaram Bus Stand,16.666682,80.770285,19.393,Main Road,AP_INST_Vignan_University,Vijayawada
Nidamanuru Circle,16.78103,80.800918,31.357,Highway,AP_INST_Vignan_University,Vijayawada
Ibrahimpatnam Old Town,16.543115,80.64798,0.873,Village Road,AP_INST_Vignan_University,Vijayawada
Penamaluru Colony,16.540095,80.660683,2.268,Main Road,AP_INST_Vignan_University,Vijayawada
Vuyyuru Square,16.541928,80.674725,3.716,Main Road,AP_INST_Vignan_University,Vijayawada
Nandigama Circle,16.539489,80.70424,6.874,Village Road,AP_INST_Vignan_University,Vijayawada
Tiruvuru Market,16.559374,80.729816,9.708,Main Road,AP_INST_Vignan_University,Vijayawada
Kankipadu Bus Stand,16.535749,80.758027,12.622,Main Road,AP_INST_Vignan_University,Vijayawada
Vissannapeta Mandal Office,16.527476,80.796669,16.812,Main Road,AP_INST_Vignan_University,Vijayawada
Pamarru Bus Stop,16.584021,80.83102,20.819,Village Road,AP_INST_Vignan_University,Vijayawada
Challapalli Station,16.574226,80.863201,24.012,Village Road,AP_INST_Vignan_University,Vijayawada
Gudivada Depot,16.540346,80.646581,0.865,Main Road,AP_INST_Vignan_University,Vijayawada
Machilipatnam Junction,16.531383,80.65635,2.301,Highway,AP_INST_Vignan_University,Vijayawada
Pedana Old Town,16.527479,80.668051,3.563,Highway,AP_INST_Vignan_University,Vijayawada
Avanigadda Colony,16.520152,80.683151,5.36,Main Road,AP_INST_Vignan_University,Vijayawada
Nagayalanka Old Town,16.489688,80.70108,8.949,Highway,AP_INST_Vignan_University,Vijayawada
Koduru Colony,16.472161,80.707593,10.833,Highway,AP_INST_Vignan_University,Vijayawada
Mylavaram Bus Stop,16.444478,80.760491,17.021,Highway,AP_INST_Vignan_University,Vijayawada
Jaggaiahpet School Road,16.41834,80.828293,24.518,Highway,AP_INST_Vignan_University,Vijayawada
Musunuru Nagar,16.299094,80.795713,31.983,Highway,AP_INST_Vignan_University,Vijayawada
Vatsavai New Town,16.536929,80.640696,0.889,Main Road,AP_INST_Vignan_University,Vijayawada
Mandavalli New Town,16.520088,80.639076,2.761,Highway,AP_INST_Vignan_University,Vijayawada
Pamidimukkala Temple Road,16.507683,80.642315,4.146,Main Road,AP_INST_Vignan_University,Vijayawada
Unguturu Square,16.497369,80.627896,5.44,Highway,AP_INST_Vignan_University,Vijayawada
Benz Circle Flyover,16.478035,80.636282,7.446,Main Road,AP_INST_Vignan_University,Vijayawada
Governorpet Chowk,16.449261,80.633987,10.654,Highway,AP_INST_Vignan_University,Vijayawada
Patamata Depot,16.408163,80.651916,15.257,Highway,AP_INST_Vignan_University,Vijayawada
Kanuru Bus Stop,16.32104,80.65788,24.965,Main Road,AP_INST_Vignan_University,Vijayawada
Auto Nagar Mandal Office,16.326145,80.64128,24.325,Highway,AP_INST_Vignan_University,Vijayawada
Nunna Circle,16.536824,80.633437,1.138,Main Road,AP_INST_Vignan_University,Vijayawada
Gunadala Station,16.532924,80.620161,2.499,Main Road,AP_INST_Vignan_University,Vijayawada
