Record_ID,Bus_ID,Route_ID,Stop_ID,Stop_Name,Latitude,Longitude,Distance_km,Cumulative_Distance_km,Weather,Temperature_C,Day_of_Week,Peak_Hour,Road_Type,Traffic_Level,Speed_kmph,Passenger_Count,Bus_Capacity,Stop_Time_min,Delay_min,Travel_Time_min,Arrival_Time
1,B002,R001,S024,Mangalagiri,16.4303,80.5681,1.8,4.87,Cloudy,28,Tuesday,0,Highway,Medium,53,40,60,4,5,11.0,08:01
2,B011,R009,S040,Tenali,16.239,80.645,5.04,29.32,Rainy,28,Wednesday,0,Village Road,Low,32,10,60,4,5,18.4,08:02
3,B020,R012,S148,Prathipadu,16.48,80.32,6.05,22.14,Sunny,28,Saturday,0,Highway,High,56,7,60,3,8,17.5,08:03
4,B007,R009,S180,Tenali,16.239,80.645,3.54,17.14,Sunny,24,Friday,0,Village Road,High,21,39,60,3,8,21.1,08:04
5,B011,R013,S069,Tenali,16.239,80.645,2.38,12.11,Sunny,24,Tuesday,1,Highway,Medium,57,18,60,1,4,7.5,08:05
6,B019,R013,S093,Namburu,16.36,80.52,1.81,24.16,Cloudy,29,Tuesday,1,Main Road,Medium,34,10,60,4,5,12.2,08:06
7,B018,R001,S175,Guntur,16.3067,80.4365,5.09,16.63,Sunny,25,Saturday,1,Village Road,Medium,31,54,60,3,4,16.9,08:07
8,B017,R004,S161,Pedakakani,16.285,80.49,0.82,22.48,Foggy,31,Saturday,0,Highway,Medium,58,14,60,2,8,10.8,08:08
9,B008,R002,S062,Pedakakani,16.285,80.49,0.94,28.81,Rainy,40,Monday,0,Village Road,High,33,51,60,3,13,17.7,08:09
10,B018,R007,S183,Namburu,16.36,80.52,7.62,12.57,Cloudy,31,Thursday,1,Village Road,Medium,33,33,60,2,5,20.9,08:10
11,B002,R008,S018,Vaddeswaram,16.49,80.61,3.23,20.88,Sunny,23,Wednesday,0,Main Road,Low,37,37,60,1,0,6.2,08:11
12,B014,R007,S025,Tenali,16.239,80.645,1.75,29.82,Sunny,25,Saturday,1,Main Road,Medium,36,27,60,4,4,10.9,08:12
13,B018,R015,S036,Prathipadu,16.48,80.32,3.7,13.88,Sunny,35,Tuesday,1,Main Road,High,33,34,60,2,8,16.7,08:13
14,B008,R006,S105,Tenali,16.239,80.645,1.5,21.06,Sunny,37,Thursday,0,Village Road,Medium,35,60,60,1,4,7.6,08:14
15,B018,R016,S040,Prathipadu,16.48,80.32,7.89,15.85,Sunny,28,Wednesday,0,Village Road,Medium,18,8,60,4,4,34.3,08:15
16,B017,R003,S048,Tulluru,16.52,80.58,1.16,15.46,Cloudy,24,Friday,0,Village Road,High,19,48,60,1,9,13.7,08:16
17,B011,R008,S068,Tenali,16.239,80.645,3.82,21.33,Rainy,34,Tuesday,1,Main Road,Medium,31,34,60,2,9,18.4,08:17
18,B005,R012,S018,Pedakakani,16.285,80.49,5.27,22.16,Cloudy,29,Wednesday,1,Village Road,Low,32,15,60,3,1,13.9,08:18
19,B004,R018,S040,Namburu,16.36,80.52,2.96,22.86,Sunny,30,Wednesday,0,Village Road,High,35,50,60,1,8,14.1,08:19
20,B002,R001,S086,Pedakakani,16.285,80.49,7.32,32.7,Sunny,26,Saturday,1,Main Road,Low,45,15,60,3,0,12.8,08:20
21,B019,R018,S038,Namburu,16.36,80.52,1.34,27.83,Cloudy,35,Tuesday,0,Main Road,High,30,24,60,3,9,14.7,08:21
22,B020,R005,S061,Pedakakani,16.285,80.49,5.71,25.72,Cloudy,27,Tuesday,1,Village Road,Low,24,6,60,4,1,19.3,08:22
23,B008,R007,S118,Tadikonda,16.405,80.643,2.72,26.34,Rainy,33,Wednesday,0,Village Road,Low,25,19,60,4,5,15.5,08:23
24,B018,R011,S008,Guntur,16.3067,80.4365,7.02,36.03,Cloudy,25,Wednesday,0,Main Road,Low,40,42,60,4,1,15.5,08:24
25,B009,R002,S182,Ponnur,16.065,80.551,3.94,33.47,Rainy,35,Monday,0,Highway,Low,58,28,60,2,5,11.1,08:25
26,B010,R018,S033,Prathipadu,16.48,80.32,5.98,14.99,Sunny,28,Thursday,1,Highway,Low,55,48,60,4,0,10.5,08:26
27,B015,R015,S114,Tadikonda,16.405,80.643,6.8,15.92,Rainy,28,Friday,1,Main Road,Low,42,55,60,3,5,17.7,08:27
28,B005,R001,S012,Tadikonda,16.405,80.643,6.69,29.22,Sunny,29,Thursday,0,Main Road,Medium,40,34,60,2,4,16.0,08:28
29,B014,R008,S046,Prathipadu,16.48,80.32,3.68,8.11,Rainy,38,Thursday,0,Village Road,Medium,33,40,60,1,9,16.7,08:29
30,B020,R017,S110,Tenali,16.239,80.645,6.57,26.6,Cloudy,39,Thursday,0,Village Road,High,22,52,60,4,9,30.9,08:30
31,B009,R011,S082,Namburu,16.36,80.52,4.29,11.47,Cloudy,39,Monday,0,Main Road,Medium,38,14,60,2,5,13.8,08:31
32,B013,R019,S179,Tenali,16.239,80.645,3.79,13.72,Sunny,22,Friday,1,Main Road,Medium,36,35,60,4,4,14.3,08:32
33,B008,R009,S112,Guntur,16.3067,80.4365,4.68,26.72,Rainy,37,Monday,1,Village Road,Medium,31,26,60,4,9,22.1,08:33
34,B005,R015,S047,Prathipadu,16.48,80.32,0.99,12.81,Sunny,23,Wednesday,1,Village Road,Medium,35,25,60,4,4,9.7,08:34
35,B018,R002,S090,Tenali,16.239,80.645,6.21,31.17,Sunny,29,Saturday,0,Main Road,Low,42,54,60,1,0,9.9,08:35
